FacilityID,Facility,ProgramID,ActvityTypeCategory,ActivityType,Gender,AgeLow,AgeHigh,AttendanceWeekDate,RegisteredIndividualsCount,UniqueIndividualCount,ProgramScheduleID,DateFrom,DateTo,weekday,AttendenceRealDate
{C8420FF3-289F-4737-A4F5-FF44DE89CA58},McVeigh Recreation Center,300,After School,After School,M/F,6,12,2021/12/13,21,21,8348,2021/09/13,2022/05/27,Tuesday,2021/12/14
{DCF40A6C-2B11-4CC5-9284-EEF363A0D7AD},Lackman Memorial Playground,4804,Educational,Educational,M/F,3,4,2021/12/20,13,0,8512,2021/09/20,2022/05/20,Tuesday,2021/12/21
{DCF40A6C-2B11-4CC5-9284-EEF363A0D7AD},Lackman Memorial Playground,4802,Educational,Educational,M/F,5,14,2021/12/20,6,0,8506,2021/09/13,2022/05/27,Tuesday,2021/12/21
{298809CB-A118-4234-8A54-54260C378AD7},Gambrel Playground,1183,Athletic,Cheerleading,M/F,6,14,2021/12/13,100,40,8542,2021/08/30,2021/12/23,Tuesday,2021/12/14
{298809CB-A118-4234-8A54-54260C378AD7},Gambrel Playground,1181,Athletic,Football,M,5,14,2021/12/13,300,4,8543,2021/08/30,2021/12/23,Monday,2021/12/13
{9D68AC8D-CF45-49EC-81E3-022EF3203A04},Eastwick Regional Playground,3126,Athletic,Martial Arts,M/F,5,100,2021/12/13,20,13,8618,2021/10/01,2022/10/01,Friday,2021/12/17
{9D68AC8D-CF45-49EC-81E3-022EF3203A04},Eastwick Regional Playground,4852,Cultural,Art,M/F,18,99,2021/12/13,6,6,8621,2021/10/08,2022/10/07,Wednesday,2021/12/15
{9D68AC8D-CF45-49EC-81E3-022EF3203A04},Eastwick Regional Playground,4851,Cultural,Art,M/F,18,99,2021/12/13,6,6,8620,2021/10/08,2022/10/08,Friday,2021/12/17
{9D68AC8D-CF45-49EC-81E3-022EF3203A04},Eastwick Regional Playground,1360,Educational,Educational,M/F,16,90,2021/12/13,6,6,8697,2021/10/11,2022/10/17,Wednesday,2021/12/15
{13600B8B-AB62-4A39-95CF-5F31C6942010},Thomas B. Smith Recreation Center,4758,After School,After School,M/F,6,12,2021/12/06,12,9,8379,2021/09/13,2022/06/10,Tuesday,2021/12/07
{65FDE44A-69BC-433C-8AD9-109921607BDE},Simons Center,3783,Cultural,Drama,M/F,6,16,2021/12/06,1,1,8815,2021/11/16,2022/06/03,Wednesday,2021/12/08
{65FDE44A-69BC-433C-8AD9-109921607BDE},Simons Center,4783,Cultural,Dance,M/F,5,13,2021/12/06,22,20,8456,2021/09/14,2022/06/10,Wednesday,2021/12/08
{C8420FF3-289F-4737-A4F5-FF44DE89CA58},McVeigh Recreation Center,300,After School,After School,M/F,6,12,2021/12/06,21,21,8348,2021/09/13,2022/05/27,Tuesday,2021/12/07
{FC68DFB6-7C48-4955-A6C6-52B22B605AAF},Emanuel Recreation Center,1201,After School,After School,M/F,5,12,2021/12/06,4,1,8310,2021/10/01,2022/05/27,Tuesday,2021/12/07
