placekey,naics_code,location_name,parkLat,parkLng
zzz-222@628-pj9-mff,712190,Wakefield Park," 40.034629","-75.149919"
zzy-222@63s-dvx-xqz,713110,Clark Park," 39.948989","-75.210169"
zzz-222@628-p9n-fpv,713990,Picariello Playground," 40.079617","-74.989736"
zzz-222@628-p9r-c3q,713990,Hayes Playground," 40.091311","-75.020542"
zzz-222@628-p9p-zzz,713990,Lackman Playground," 40.100467","-75.033402"
zzz-222@628-pj3-kj9,712190,Loudoun Park," 40.025367","-75.160751"
zzz-222@628-pgb-hyv,712190,Eakins Oval," 39.963818","-75.178682"
zzz-222@628-p8t-n89,713990,Chalfont Playground," 40.079539","-74.974345"
zzz-222@628-pp5-dy9,712190,Mcpearson Square," 39.995017","-75.119105"
222-222@628-pgc-brk,712190,Fairmount Park," 39.979654","-75.209237"
zzz-222@628-p8h-qs5,713990,Dorsey Playground," 40.021678","-75.048185"
zzz-222@628-p8d-zxq,713990,Gambrell Playground," 40.013963","-75.075806"
zzz-222@628-pgj-9fz,713990,Winchester Playground," 39.988813","-75.157812"
zzz-222@628-pnx-4sq,712190,Northern Liberties Recreation Center," 39.962901","-75.143733"
zzz-222@628-pj4-wrk,712190,Rivera Recreation Center," 40.000167","-75.137916"
zzz-222@628-pjg-h3q,712190,Wissahickon East," 40.070009","-75.191083"
zzz-222@628-pg9-5mk,712190,Gathers Recreation Center," 39.987906","-75.174882"
zzy-222@628-p86-c89,712190,Fox Chase Playground," 40.073034","-75.081325"
zzz-222@628-pp5-sbk,712190,Hope Park," 39.995502","-75.127596"
zzz-223@628-pgf-tjv,712190,Water Works," 39.966057","-75.183205"
zzz-222@628-pj3-zmk,712190,Wingohocking Park," 40.020286","-75.144717"
zzz-222@628-pm8-vj9,712190,Franklin D Roosevelt Park," 39.903811","-75.178376"
zzz-222@628-pmb-cnq,712190,Cianfrani Park," 39.940664","-75.155358"
zzz-222@628-pmc-q9f,713990,Herron Playground," 39.930763","-75.148595"
zzz-222@628-pm9-zvf,712190,Bainbridge Green," 39.940752","-75.150122"
