year,month,region,iso_country_code,census_block_group,number_devices_residing,number_devices_primary_daytime
2021,1,pa,US,"421010266002",18,18
2021,1,pa,US,"420031011003",13,12
2021,1,pa,US,"420031413003",638,793
2021,1,pa,US,"420034240003",26,23
2021,1,pa,US,"420035041004",79,54
2021,1,pa,US,"420171003041",130,167
2021,1,pa,US,"420490013002",42,43
2021,1,pa,US,"420490117012",58,57
2021,1,pa,US,"420550106001",135,112
2021,1,pa,US,"421010267002",21,19
2021,1,pa,US,"421279614002",31,28
2021,1,pa,US,"420030802002",13,9
2021,1,pa,US,"420035030024",47,43
2021,1,pa,US,"420171052022",34,43
2021,1,pa,US,"420454041031",115,100
2021,1,pa,US,"420454075011",43,39
2021,1,pa,US,"420850328003",95,88
2021,1,pa,US,"421019806001",87,50
2021,1,pa,US,"421070004002",22,20
2021,1,pa,US,"421070024002",13,11
2021,1,pa,US,"421070025002",87,79
2021,1,pa,US,"421070036001",53,36
2021,1,pa,US,"420034733005",33,28
2021,1,pa,US,"420130114002",71,64
2021,1,pa,US,"420171014012",77,87
2021,1,pa,US,"420171043011",111,108
2021,1,pa,US,"420490002004",32,25
2021,1,pa,US,"420710143003",31,16
2021,1,pa,US,"421010119002",69,48
2021,1,pa,US,"421010178007",36,25
2021,1,pa,US,"421330212202",281,205
2021,1,pa,US,"420034142003",65,59
2021,1,pa,US,"420035190002",59,59
2021,1,pa,US,"420110001003",46,80
2021,1,pa,US,"420430215001",48,39
2021,1,pa,US,"420490022002",48,34
2021,1,pa,US,"420599703002",75,65
2021,1,pa,US,"421010091002",57,92
2021,1,pa,US,"421010283005",60,52
2021,1,pa,US,"421257512003",58,30
2021,1,pa,US,"421298020023",127,99
2021,1,pa,US,"421330222002",97,107
2021,1,pa,US,"420010313001",219,174
2021,1,pa,US,"420430233001",68,59
2021,1,pa,US,"420512615002",60,46
2021,1,pa,US,"420659503004",50,33
2021,1,pa,US,"420770051002",115,72
2021,1,pa,US,"420810113011",53,53
2021,1,pa,US,"420912069012",81,58
2021,1,pa,US,"420912073003",46,39
2021,1,pa,US,"421010363012",57,49
2021,1,pa,US,"420035233004",49,33
2021,1,pa,US,"420110119032",313,250
2021,1,pa,US,"420293022032",29,30
2021,1,pa,US,"420311606004",29,33
2021,1,pa,US,"420410113021",226,169
2021,1,pa,US,"420430227011",162,117
2021,1,pa,US,"420454104001",93,77
2021,1,pa,US,"420512613004",87,65
2021,1,pa,US,"420770063051",77,116
2021,1,pa,US,"420893005012",130,122
2021,1,pa,US,"421010349002",110,90
2021,1,pa,US,"421070030002",144,112
2021,1,pa,US,"420035616003",26,17
2021,1,pa,US,"420171031011",27,21
2021,1,pa,US,"420171053001",52,43
2021,1,pa,US,"420199024001",61,69
2021,1,pa,US,"420210128005",31,23
2021,1,pa,US,"420210132004",85,57
2021,1,pa,US,"420912063002",61,70
2021,1,pa,US,"421010028023",49,32
2021,1,pa,US,"421010166001",54,52
2021,1,pa,US,"421010192005",44,25
2021,1,pa,US,"420110103041",48,35
