X,Y,OBJECTID,ASSET_NAME,SITE_NUMBE,PSPACETYPE,CAPACITY,DSCRIPTION,DPP_ASSET_,SPACE_GLOBAL_ID
-75.1428851257889,40.0158598195626,45,Hunting Park picnic site 4,4,Picnic Site,50, ,845,{7ddd8aeb-b65c-4f1b-a4e3-55f1ebc931a6}
-75.2461490516801,39.9175069109193,46,Cobbs Creek Blue Bell Tavern picnic site 1,1,Picnic Site,50, ,3056,{593314bb-3d61-4992-ab2a-907271ea6515}
-75.2050280013059,39.9823906321914,47,Tugboat House at Belmont Landing picnic site 5,5,Picnic Site,50, ,1714,{bca3d343-2377-40d1-8a73-5f41bba6e1ea}
-75.0353370949111,40.049950146513,48,Rhawn Street Picnic Area site 3,3,Picnic Site,50, ,1651,{3d5f88cc-fe87-49c2-9738-07db8ecd5cfe}
-75.0357298532534,40.0497803339644,49,Rhawn Street Picnic Area site 2,2,Picnic Site,50, ,1651,{814c4478-4ae8-4651-898f-3768861f178b}
-75.0366503773626,40.0495569588322,50,Rhawn Street Picnic Area pavilion,1,Picnic Site,50, ,1651,{d7578648-488d-45b2-a4ed-139011ff0730}
-75.188996060531,39.9820666393352,51,33rd & Cecil B. Moore picnic site 1,1,Picnic Site,50, ,1713,{961e06d4-e37d-4eb0-ab75-0b69feabf680}
-75.0333823888265,40.0499462271591,52,Rhawn Street Picnic Area site 4,4,Picnic Site,50, ,1651,{37c8b27a-f51d-4289-a87e-d3b83e758d59}
-75.0331248260849,40.050318713516,53,Rhawn Street Picnic Area site 5,5,Picnic Site,50, ,1651,{1c9ac726-9fd9-4925-9314-5169e421704c}
-75.013445054362,40.0268184820169,54,Pennypack on the Delaware picnic site 1,1,Picnic Site,50, ,1932,{1c5455e7-212a-4235-95fc-b801f2ea77fc}
-75.0128954258494,40.0269130445221,55,Pennypack on the Delaware picnic site 2,2,Picnic Site,50, ,1932,{29115ebf-5f99-490a-8da4-62e3b7f6670e}
-75.0120848397101,40.0274006989933,56,Pennypack on the Delaware picnic site 3,3,Picnic Site,50, ,1932,{70c0c686-7928-4815-8651-798988eaa43e}
-75.0121331989927,40.0277200138252,57,Pennypack on the Delaware picnic site 5,5,Picnic Site,50, ,1932,{e4c9d9a0-544a-4c1d-8e1b-51e4ff81a32d}
-75.0114047164956,40.0277782049125,58,Pennypack on the Delaware picnic site 4,4,Picnic Site,50, ,1932,{7efc368e-6431-4bb9-a9f7-77f1962b463c}
-75.0113560065066,40.0279779564899,59,Pennypack on the Delaware picnic site 6,6,Picnic Site,50, ,1932,{f44a6abb-2529-4ef8-a7d0-e5cc60149af1}
-75.1284005501621,39.9669283892931,60,Penn Treaty Park picnic site 1,1,Picnic Site,50, ,317,{534328be-b432-48c5-a13d-8bffeed7927d}
-75.1283978004322,39.9667556212524,61,Penn Treaty Park picnic site 2,2,Picnic Site,50, ,317,{4366cbaa-a21f-4b0a-99aa-60ec11c509a5}
-75.1872722509848,39.9724018127729,62,Lemon Hill picnic site 8,8,Picnic Site,50, ,1713,{64265843-3f57-4a44-bd8c-248736c9b0bc}
-75.1878400073467,39.9720829902482,63,Lemon Hill picnic site 5,5,Picnic Site,50, ,1713,{0009b4c1-9eca-485e-9876-6bad9a68ed74}
-75.1878300501536,39.9717538221928,64,Lemon Hill picnic pavilion,1,Picnic Pavilion,50, ,1713,{b6e0b55d-d394-435d-bbcd-bb583550492b}
-75.1881690694334,39.9723933365562,65,Lemon Hill picnic site 6,6,Picnic Site,50, ,1713,{2a7eb285-d4b5-4556-993b-5ba05a38ba3e}
-75.188744554037,39.9717498010121,66,Lemon Hill picnic site 7,7,Picnic Site,50, ,1713,{6737070a-4564-4360-9875-43b511b79b2c}
-75.1884877444344,39.9713857896663,67,Lemon Hill picnic site 2,2,Picnic Site,50, ,1713,{3922a7d8-bc0c-471b-adb0-a246a05020f2}
-75.2228686752131,39.9870923365196,68,North Georges Hill picnic pavilion,1,Picnic Pavilion,50, ,1714,{0f4326a0-c2c5-49a5-b10d-7bcf72845257}
-75.222982369748,39.9866782723308,69,North Georges Hill picnic site 2,2,Picnic Site,50, ,1714,{ef578eaa-b2bb-49b3-ac46-5f9121d09369}
-75.2047841523958,39.9813412469739,70,Tugboat House at Belmont Landing picnic site 2,2,Picnic Site,50, ,1714,{3846bb57-0c0d-447f-83ca-f975530eadfb}
-75.2052677890018,39.9821664402749,71,Tugboat House at Belmont Landing picnic site 4,4,Picnic Site,50, ,1714,{716bbc7e-3d12-4873-8e77-465025e94bd0}
-75.189270601252,39.9897862801263,72,Mander Playground picnic site 2,2,Picnic Site,50, ,1900,{68f7bd2a-a176-46cd-97d4-6e1af8d3484d}
-75.1893492452001,39.9909052682467,73,Mander Playground picnic site 4,4,Picnic Site,50, ,1900,{cf3dbf6d-000a-46dc-b15e-8bd3217f1dcc}
-75.1886372619423,39.9919146871969,74,Mander Playground picnic site 3,3,Picnic Site,50, ,1900,{d8973cc0-e1a5-458f-a195-6de7989b9d82}
-75.2142057157519,39.9884194521754,75,Belmont Plateau picnic site 1,1,Picnic Site,50, ,1818,{1af73ce5-4746-4bbf-94b9-856989400b9b}
-75.2137950011397,39.9889110194055,76,Belmont Plateau picnic site 2,2,Picnic Site,50, ,1818,{7d9ed484-8925-4530-b396-fc165d3f3c15}
-75.2142279630791,39.9888544242147,77,Belmont Plateau picnic site 3,3,Picnic Site,50, ,1818,{d8b0e925-f988-4a38-9cc5-2c8255680983}
-75.2106549166924,39.9891389162238,78,Belmont Plateau picnic site 6,6,Picnic Site,50, ,1818,{3014f107-251e-4332-b6d2-8e8b498c68eb}
-75.2134289570069,39.9899220705527,79,Belmont Plateau picnic site 7,7,Picnic Site,50, ,1818,{93077c84-8334-4e68-a808-ddbd6cb0c67f}
-75.2342590852332,39.9375919586705,80,Cobbs Creek Florence Ave & 59th St. picnic site 1,1,Picnic Site,50, ,3056,{32660d6b-c6b8-4c30-ad86-7bc9a43bd832}
-75.245854720051,39.9431134829732,81,Cobbs Creek Robert Wilson III Park picnic site 2,2,Picnic Site,50, ,3454,{1466be22-0cf2-4332-92e4-0f6bf875c84a}
-75.2460627256027,39.943592378445,82,Cobbs Creek Robert Wilson III Park picnic site 1,1,Picnic Site,50, ,3454,{a514b769-7329-4d92-b93f-ec8640e4be86}
-75.2500045388376,39.9507051088173,83,Rufus O. Williams Memorial Playground picnic site 1,1,Picnic Site,50, ,3056,{bbc083a7-e799-4767-b40a-d8f9b936cc6e}
-75.2499205407029,39.9500706922711,84,Rufus O. Williams Memorial Playground picnic site 2,2,Picnic Site,50, ,3056,{4f0a6fe0-9c41-4fc6-aa26-1674121651ae}
-75.248848301594,39.9540114586083,85,Cobbs Creek Environmental Center picnic site 1,1,Picnic Site,50, ,3056,{fcd42e13-3bb7-4741-8e6c-77ec41f6d620}
-75.2488908901256,39.953853909944,86,Cobbs Creek Environmental Center picnic site 2,2,Picnic Site,50, ,3056,{dc64e27f-6ee6-407e-b5f8-564d91217208}
-75.2489136378974,39.9535990450967,87,Cobbs Creek Environmental Center picnic site 3,3,Picnic Site,50, ,3056,{bc6bd68e-4f83-4aa9-a87a-617cc010f02a}
