objectid,park_name,site_number,table_count,comments,data_source,lat,lng
112,Belmont Plateau ,1,3,West Fairmount Park,"2018 Street Smart, Pictometry 2020",39.98840331146477,-75.21420213708488
113,Belmont Plateau ,2,3,West Fairmount Park,"2017 Field Collection, Pictometry 2020",39.98889487857629,-75.21379142260864
114,Belmont Plateau ,3,3,West Fairmount Park,"2018 Street Smart, Pictometry 2020",39.98883828341913,-75.21422438436446
115,Belmont Plateau ,5,3,West Fairmount Park,"2017 Field Collection, Pictometry 2020",39.98844120788576,-75.21165213232986
116,Belmont Plateau ,4,3,West Fairmount Park,"2017 Field Collection, Pictometry 2020",39.98864696624101,-75.2116228946679
117,Belmont Plateau ,7,2,West Fairmount Park,"2018 Street Smart, Pictometry 2020",39.989905928604074,-75.21342537858055
118,Cobbs Creek Park,1,3,Florence Ave and S 59th St,"2018 Street Smart, Pictometry 2020",39.93732001280017,-75.2342006191888
119,Cobbs Creek Park,2,2,Florence Ave and S 59th St,"2018 Street Smart, Pictometry 2020",39.93757583895077,-75.23425550073571
120,Whitby Avenue Playground,1,3,Located in Cobbs Creek Park,"2020 Street Smart; 2020 Pictometry",39.94098193660881,-75.23790600953467
121,Whitby Avenue Playground,2,3,Located in Cobbs Creek Park,"2020 Street Smart; 2020 Pictometry",39.940746199670265,-75.23800104852597
122,Whitby Avenue Playground,4,3,Located in Cobbs Creek Park,"2017 Field Collection, Pictometry 2020",39.94074978362706,-75.23852409473993
123,Whitby Avenue Playground,3,3,Located in Cobbs Creek Park,"2017 Field Collection, Pictometry 2020",39.94059631876979,-75.23825639098602
124,Robert Wilson III Park,2,1,,"2018 Street Smart, Pictometry 2020",39.94309736178054,-75.24585112655105
125,Robert Wilson III Park,1,3,,"2018 Street Smart, Pictometry 2020",39.943576257168125,-75.24605913197038
126,Rufus O Williams Memorial Playground,1,3,,"2017 Field Collection, Pictometry 2020",39.95068898543329,-75.25000094290179
